timesteps,q1_mean,q1_std,q1_mean_abs,q1_std_abs,q2_mean,q2_std,q2_mean_abs,q2_std_abs,min_mean,min_std,min_mean_abs,min_std_abs,overestimation_gap_mean_abs,overestimation_gap_std_abs,loss1,loss2,critic_loss,mean_q_1,std_q_1,mean_q_2,std_q_2
10000,-0.49037739634513855,5.804337978363037,1.82783043384552,5.530808448791504,-0.5670005679130554,5.86421012878418,1.8794957399368286,5.583721160888672,-0.6695547699928284,5.84440803527832,1.9036988019943237,5.56608772277832,0.28173160552978516,0.43030646443367004,33.93080520629883,34.710445404052734,34.32062530517578,-3.467862367630005,6.595110893249512,-3.5444858074188232,6.533511638641357
20000,-0.020234249532222748,4.264804363250732,1.2992172241210938,4.062142372131348,0.07464427500963211,4.247934341430664,1.3175609111785889,4.039127826690674,-0.10975030809640884,4.238959312438965,1.3123023509979248,4.032205581665039,0.27391064167022705,0.40288612246513367,18.188966751098633,18.050518035888672,18.119742393493652,-2.472933292388916,9.964694023132324,-2.378054618835449,9.941210746765137
30000,-0.12153469026088715,3.8673856258392334,1.2412513494491577,3.664797067642212,-0.1843554675579071,3.830770492553711,1.269554853439331,3.6189804077148438,-0.31280604004859924,3.833254814147949,1.2837867736816406,3.6254076957702637,0.3197219669818878,0.5337005853652954,14.971440315246582,14.708788871765137,14.84011459350586,-1.7815521955490112,10.191351890563965,-1.8443728685379028,10.017008781433105
40000,-0.2135072946548462,2.8420350551605225,1.051009178161621,2.649174690246582,-0.2986465096473694,2.8363454341888428,1.0573501586914062,2.6487836837768555,-0.40553799271583557,2.8326566219329834,1.088883876800537,2.646268129348755,0.29892221093177795,0.3892298936843872,8.122747421264648,8.134045600891113,8.12839651107788,-1.1044330596923828,10.559819221496582,-1.1895723342895508,10.595239639282227
50000,0.16927719116210938,3.748650312423706,1.1941412687301636,3.5573954582214355,-0.0345742367208004,3.7489216327667236,1.1912480592727661,3.554790496826172,-0.13049514591693878,3.722184658050537,1.1989245414733887,3.5262258052825928,0.39569321274757385,0.4649287760257721,14.081034660339355,14.0556058883667,14.068320274353027,-0.3385319113731384,11.275554656982422,-0.5423833131790161,11.410652160644531
60000,0.12054364383220673,3.149576425552368,1.0732957124710083,2.9635112285614014,0.09773913770914078,3.109631299972534,1.054697036743164,2.9269394874572754,-0.05950847268104553,3.1182332038879395,1.0655441284179688,2.9311320781707764,0.3372997045516968,0.4813261926174164,9.934361457824707,9.679361343383789,9.806861400604248,0.2483181208372116,10.952048301696777,0.22551359236240387,10.9652099609375
70000,-0.05275624245405197,3.0129506587982178,1.1064060926437378,2.802948474884033,0.20394617319107056,2.999887228012085,1.0910212993621826,2.8018903732299805,-0.14531204104423523,2.9919955730438232,1.1120235919952393,2.781466484069824,0.44181400537490845,0.4618545472621918,9.080655097961426,9.040916442871094,9.06078577041626,0.26961925625801086,11.633720397949219,0.5263216495513916,11.710976600646973
80000,-0.22900234162807465,3.6027352809906006,1.2126411199569702,3.4002416133880615,-0.2892456650733948,3.583305597305298,1.2056713104248047,3.3867533206939697,-0.4978666603565216,3.593522071838379,1.2556263208389282,3.4036271572113037,0.4774852395057678,0.4698181450366974,13.032143592834473,12.92374038696289,12.977941989898682,-1.0213966369628906,14.983449935913086,-1.0816398859024048,14.843113899230957
90000,-0.031667955219745636,2.786560535430908,1.1966034173965454,2.516756534576416,-0.1828620433807373,2.74792742729187,1.2031834125518799,2.4772753715515137,-0.360233873128891,2.7648117542266846,1.2286098003387451,2.50289249420166,0.5059378147125244,0.5648494362831116,7.7659220695495605,7.584543704986572,7.675232887268066,-1.266585111618042,16.097816467285156,-1.4177792072296143,16.179636001586914
100000,0.13427935540676117,3.0123331546783447,1.1795293092727661,2.775048017501831,0.056535374373197556,2.9975428581237793,1.1476359367370605,2.7697277069091797,-0.1557779759168625,2.9857277870178223,1.1537541151046753,2.7582039833068848,0.5023707151412964,0.5420477390289307,9.092180252075195,8.988460540771484,9.04032039642334,-1.3005826473236084,16.828495025634766,-1.378326654434204,16.850154876708984
